prompt_type,concurrency,ttft,tpot,total_latency,tokens_generated,prompt_length,error
short,1,2.4818863999989844,4.4607522939816775,2.6901291999984096,12,14,
short,1,2.1374300999996194,5.062376066706809,2.3704283999995823,12,14,
short,1,2.1927582999996957,4.9975487023626615,2.401177199999438,12,14,
long,1,2.2191844999997556,28.807119679628695,4.44334600000002,128,263,
long,1,2.13861469999938,29.510801518212837,4.337394899999708,128,263,
long,1,2.242593200000556,28.612591104834085,4.473555000000488,128,263,
short,2,2.127732400000241,5.1329122719844005,2.337854100000186,12,14,
short,2,2.360925999999381,14.082911670150732,3.124353900000642,44,27,
short,2,2.2320928999997705,19.33073368160426,3.414252199998373,66,27,
short,2,3.43920000000071,3.2888933496024686,3.6486437000003207,12,14,
short,2,2.1158309999991616,16.277709111844473,2.9488178999999946,48,27,
short,2,2.9733985000002576,3.7701651998429067,3.1828843999992387,12,14,
long,2,2.1964451000003464,28.875913477119184,4.432760199999393,128,263,
long,2,4.459373800000321,19.22629541972005,6.657548799999859,128,240,
long,2,2.108353100000386,29.72094862023639,4.30672659999982,128,263,
long,2,4.333375899999737,19.593137479104282,6.532899600000746,128,240,
long,2,2.158025999999154,28.983531036866665,4.416301100000055,128,240,
long,2,4.4457699000013235,19.261314156125742,6.645444800000405,128,263,
short,4,2.1010935999984213,22.03159636423428,3.40420180000001,75,22,
short,4,3.430261999999857,4.059802295206128,3.6947612000003573,15,20,
short,4,3.7198862000004738,1.5682749273766472,3.825859800001126,6,14,
short,4,3.8494458999994094,15.553507803481091,5.27212259999942,82,27,
short,4,2.1590628000012657,25.684430809304722,4.049145599999974,104,27,
short,4,4.074214000000211,2.8018347067419334,4.282907900000282,12,14,
short,4,4.310605000000578,12.098315087821002,5.45530510000026,66,22,
short,4,5.480895700000474,2.612347850765128,5.741961200001242,15,20,
short,4,2.1179432999997516,4.761037057748076,2.310421000000133,11,20,
short,4,2.335284500000853,4.712944561750784,2.5461789000000863,12,14,
short,4,2.5692428999991535,14.981778843651579,3.4708828999991965,52,27,
short,4,3.4946866999998747,20.494514541635507,5.416083399999479,111,22,
long,4,2.1603479999994306,29.047610326849078,4.40655870000046,128,263,
long,4,4.425933900000018,19.31427182697589,6.6272237000011955,128,263,
